------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
------------------------------


------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
     30. H2 + CH.CH2(S)  => H + CH2CH2(S) 
         k:       8.990000e+00	    2.50      26362.00


     31. CH3 + CH2CH2(S)  => CH4 + CH.CH2(S) 
         k:       2.000000e+08	    0.00       7300.00


     32. CH4 + CH.CH2(S)  => CH3 + CH2CH2(S) 
         k:       5.000000e+08	    0.00      35992.00


     33. CH2CH2(S)  => H + CH.CH2(S) 
         k:       2.600000e+14	    0.00      77100.00


     34. H + CH.CH2(S)  => CH2CH2(S) 
         k:       4.970000e+09	    0.00        915.50


     35. CH2CH2(S)  => H2 + 2H(S) + 2C(B) 
         k:       2.510000e+13	    0.00      59034.00


     36. CH.CH2(S)  => H + 2H(S) + 2C(B) 
         k:       4.960000e+11	    0.00      20733.00


     37. PC3H4 + C.(S)  => p1(S) + C(B) 
         k:       8.300000e+19	   -2.70      17464.00


     38. p1(S) + C(B)  => PC3H4 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     39. p1(S)  => H(S) + CH3(S) + 2C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     40. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species p1(S): 
                  0.00	1.00	0.00	


     41. C3H6 + C.(S)  => p3(S) + C(B) 
         k:       2.500000e+09	    0.00       6200.00


     42. p3(S)  => p4(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     43. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species p3(S): 
                  0.00	1.00	0.00	


     44. H + p4(S)  => H2 + p5(S) 
         k:       1.100000e+02	    2.50      -1900.00


